Date,Open,High,Low,Close,Adj Close,Volume
2003-12-23,1232.402710,1327.202881,1232.402710,1232.402710,683.548462,426686
2003-12-24,1232.402710,1232.402710,1232.402710,1232.402710,683.548462,0
2003-12-25,1232.402710,1232.402710,1232.402710,1232.402710,683.548462,0
2003-12-26,1232.402710,1232.402710,1232.402710,1232.402710,683.548462,0
2003-12-29,1232.402710,1303.502808,1232.402710,1303.502808,722.984009,159809
2003-12-30,1303.502808,1303.502808,1232.402710,1232.402710,683.548462,365505
2003-12-31,1232.402710,1232.402710,1232.402710,1232.402710,683.548462,0
2004-01-01,1232.402710,1232.402710,1232.402710,1232.402710,683.548462,0
2004-01-02,1232.402710,1256.102783,1232.402710,1232.402710,683.548462,71729
2004-01-05,1232.402710,1256.102783,1232.402710,1232.402710,683.548462,313290
2004-01-06,1232.402710,1232.402710,1185.002563,1208.702637,670.403137,194619
2004-01-07,1208.702637,1208.702637,1161.302612,1185.002563,657.258057,618669
2004-01-08,1185.002563,1185.002563,1185.002563,1185.002563,657.258057,1117613
2004-01-09,1185.002563,1256.102783,1185.002563,1232.402710,683.548462,2761597
2004-01-12,1232.402710,1232.402710,1208.702637,1208.702637,670.403137,238923
2004-01-13,1185.002563,1208.702637,1185.002563,1185.002563,657.258057,213607
2004-01-14,1208.702637,1232.402710,1185.002563,1232.402710,683.548462,858647
2004-01-15,1232.402710,1232.402710,1232.402710,1232.402710,683.548462,607593
2004-01-16,1232.402710,1279.802856,1232.402710,1256.102783,696.693542,205168
2004-01-19,1232.402710,1232.402710,1208.702637,1208.702637,670.403137,491032
2004-01-20,1232.402710,1232.402710,1208.702637,1208.702637,670.403137,493142
2004-01-21,1232.402710,1232.402710,1208.702637,1208.702637,670.403137,46940
2004-01-22,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,0
2004-01-23,1232.402710,1232.402710,1232.402710,1232.402710,683.548462,183016
2004-01-26,1232.402710,1232.402710,1208.702637,1208.702637,670.403137,132383
2004-01-27,1232.402710,1232.402710,1208.702637,1232.402710,683.548462,201476
2004-01-28,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,208332
2004-01-29,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,583859
2004-01-30,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,15295
2004-02-02,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,0
2004-02-03,1208.702637,1208.702637,1137.602539,1185.002563,657.258057,951474
2004-02-04,1185.002563,1185.002563,1161.302612,1161.302612,644.112793,73312
2004-02-05,1161.302612,1185.002563,1161.302612,1185.002563,657.258057,107067
2004-02-06,1185.002563,1208.702637,1185.002563,1185.002563,657.258057,129219
2004-02-09,1185.002563,1208.702637,1185.002563,1208.702637,670.403137,199894
2004-02-10,1185.002563,1208.702637,1185.002563,1185.002563,657.258057,145041
2004-02-11,1185.002563,1232.402710,1185.002563,1208.702637,670.403137,169303
2004-02-12,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,93881
2004-02-13,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,99683
2004-02-16,1208.702637,1208.702637,1185.002563,1185.002563,657.258057,9493
2004-02-17,1208.702637,1208.702637,1208.702637,1208.702637,670.403137,71729
